,Unnamed: 0,店,日,時台,RECNO,加工ｺｰﾄﾞ,性別,年代,部門,AU,ﾗｲﾝ,ｸﾗｽ,JANｺｰﾄﾞ,商品名,規格名,売上数量,売上金額,見切数量,見切金額,特売数量,特売金額,ﾁﾗｼ,税抜定番売価
43,43,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,162,3,2,J4958293003283,オークワ  生芋糸こんにゃく,１８０ｇ,1,94,0,0,1,27,0,123
44,44,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,170,1,1,J49722819     ,明治  プロビオＹＧＬＧ２１砂糖０,１１２ｇ,2,256,0,0,0,0,0,128
45,45,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,2,3,J4982909705728,洋人参  袋,,1,97,0,0,0,0,0,98
46,46,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,5,5,J4982909715901,カツトネギ,３０Ｇ,1,97,0,0,0,0,0,98
47,47,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,3,3,J4985761100014,ブナシメジ,,1,97,0,0,0,0,0,98
48,48,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1130,191,0,3,J0232850000000,オツクリ  （カツオタタキ）,,1,398,0,0,0,0,0,1
49,49,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1140,152,1,2,J0257014000000,天ぷら  ばら売り,,2,194,0,0,0,0,0,98
50,50,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1140,152,1,4,J0257553000000,えび天  ばら売り,,2,395,0,0,0,0,0,198
51,51,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1140,151,3,3,J0401550020171,☆ふわぽたいなり（黒ごま入）５個,,1,168,0,0,0,0,0,168
52,52,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1140,151,4,4,J0401550032174,☆赤飯（小）,,1,197,0,0,0,0,0,198
53,53,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1150,169,1,4,J4902160210083,くらしモア  アップルジュース１００％,１０００ｍｌ,1,119,0,0,1,27,0,148
54,54,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1150,169,1,2,J4902705103030,明治  おいしい低脂肪乳,１０００ｍｌ,1,197,0,0,0,0,0,198
55,55,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1150,173,1,0,J4903110020288,ヤマザキダブルソフト,３枚切,1,96,0,0,0,0,0,97
56,56,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1150,173,1,0,J4903110097198,ヤマザキレーズンゴールド,６枚入,1,235,0,0,0,0,0,236
57,57,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1150,168,1,1,J4955819700466,めん楽  細うどん,１８０ｇ,2,54,0,0,0,0,0,27
58,58,263,20170921,9,R20170921-20105044,P6QQ40FGHHS,男性,80代,1130,193,4,1,J4984177114257,＜ヤマジン＞子持ちからふとししゃも,２５０ｇ,1,297,0,0,0,0,0,298
59,59,263,20170921,9,R20170921-20105045,P9QQ20GGDDS,女性,60代,1150,173,1,7,J4525896000027,名方クイーンブレッド食パン６枚,ゴゼン,1,171,1,43,0,0,0,214
